provider_hosting_legal_entity-100pit,100 Percent IT
provider_hosting_legal_entity-asgcc,Academia Sinica Grid Computing Centre
provider_hosting_legal_entity-acccaghust,ACC Cyfronet AGH-UST
provider_hosting_legal_entity-altec,Aerospace Logistics Technology Engineering Company (ALTEC)
provider_hosting_legal_entity-amsub,Alma Mater Studiorum - Università di Bologna
provider_hosting_legal_entity-al,Arkivum Limited
provider_hosting_legal_entity-arc,Athena Research and Innovation Center in Information and Communication Technologies (ARC)
provider_hosting_legal_entity-acdhch,Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)
provider_hosting_legal_entity-bsc,Barcelona Supercomputing Center - Centro Nacional de Supercomputación (BSC)
provider_hosting_legal_entity-biisa,BI INSIGHT S.A.
provider_hosting_legal_entity-bul,Bielefeld University Library
provider_hosting_legal_entity-bcuu,Bijvoet Centre - Utrecht University
provider_hosting_legal_entity-czm,Carl Zeiss Microscopy
provider_hosting_legal_entity-creaf,Center for Research in Ecology and Forestry Applications (CREAF)
provider_hosting_legal_entity-centerdata,Centerdata
provider_hosting_legal_entity-cericeric,Central European Research Infrastructure Consortium (CERIC-ERIC)
provider_hosting_legal_entity-cu,Charles University
provider_hosting_legal_entity-cdrc,Centre de recherche Crem
provider_hosting_legal_entity-cnrs,Centre National de la Recherche Scientifique (CNRS)
provider_hosting_legal_entity-cesnet,CESNET
provider_hosting_legal_entity-cci,Cineca Consorzio Interuniversitario
provider_hosting_legal_entity-cf,CloudFerro
provider_hosting_legal_entity-cnio,CNIO - Spanish National Cancer Research Centre
provider_hosting_legal_entity-collabwith,COLLABWITH
provider_hosting_legal_entity-coard,Collaborative Open Access Research and Development (COARD)
provider_hosting_legal_entity-capsh,Committee for the Accessibility of Publications in Sciences and Humanities (CAPSH)
provider_hosting_legal_entity-cite,Communication & Information Technologies Experts SA Consulting and Development Services (CITE)
provider_hosting_legal_entity-csic,Consejo Superior de Investigaciones Científicas (CSIC)
provider_hosting_legal_entity-earthwatch,Conservation Education and Research Trust (Earthwatch)
provider_hosting_legal_entity-cells,Consortium for the Construction, Equipping and Exploitation of a synchrotron light source (CELLS)
provider_hosting_legal_entity-cessdaeric,Consortium of European Social Science Data Archives ERIC
provider_hosting_legal_entity-csip,Consorzio per il Sistema Informativo (CSI Piemonte)
provider_hosting_legal_entity-ccsl,CORONIS COMPUTING SL
provider_hosting_legal_entity-csg,CS GROUP
provider_hosting_legal_entity-csc,CSC – IT CENTER FOR SCIENCE
provider_hosting_legal_entity-cybcebbruc,CY-Biobank Center of Excellence in Biobanking and Biomedical Research - University of Cyprus
provider_hosting_legal_entity-cyberbotics,Cyberbotics
provider_hosting_legal_entity-dariaheric,DARIAH ERIC (Digital Research Infrastructure for the Arts and Humanities)
provider_hosting_legal_entity-dr,Data Revenue
provider_hosting_legal_entity-datacite,DataCite
provider_hosting_legal_entity-ddqbv,DDQ B.V.
provider_hosting_legal_entity-desy,Deutsches Elektronen-Synchrotron (DESY)
provider_hosting_legal_entity-dkrz,Deutsches Klimarechenzentrum (DKRZ)
provider_hosting_legal_entity-dlsltd,Diamond Light Source Ltd
provider_hosting_legal_entity-dcc,Digital Curation Centre (DCC)
provider_hosting_legal_entity-doabf,DOAB Foundation
provider_hosting_legal_entity-dal,DynAikon Limited
provider_hosting_legal_entity-eodc,Earth Observation Data Centre for Water Resources Monitoring (EODC)
provider_hosting_legal_entity-ecgmbh,Edelweiss Connect GmbH
provider_hosting_legal_entity-egif,EGI Foundation
provider_hosting_legal_entity-eiscatsa,EISCAT Scientific Association
provider_hosting_legal_entity-ebv,Elsevier BV
provider_hosting_legal_entity-enhancer,EnhanceR
provider_hosting_legal_entity-eoxitsgmbh,EOX IT Services GmbH
provider_hosting_legal_entity-epot,EPOT
provider_hosting_legal_entity-emc,Erasmus Medical Center
provider_hosting_legal_entity-eudat,EUDAT
provider_hosting_legal_entity-er,Eurac Research
provider_hosting_legal_entity-cmcc,Euro-Mediterranean Center on Climate Change (CMCC)
provider_hosting_legal_entity-emblebi,European Molecular Biology Laboratory - European Bioinformatics Institute (EMBL-EBI)
provider_hosting_legal_entity-emso,European Multidisciplinary Seafloor and water column Observatory (EMSO)
provider_hosting_legal_entity-cern,EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH (CERN)
provider_hosting_legal_entity-clarineric,European Research Infrastructure for Language Resources and Technology (CLARIN ERIC)
provider_hosting_legal_entity-esseric,European Social Survey, European Research Infrastructure Consortium
provider_hosting_legal_entity-essoeric,European Spallation Source ERIC
provider_hosting_legal_entity-esrf,European Synchrotron Radiation Facility (ESRF)
provider_hosting_legal_entity-ef,Europeana Foundation
provider_hosting_legal_entity-exoscale,EXOSCALE
provider_hosting_legal_entity-expertai,expert.ai
provider_hosting_legal_entity-f6sn,F6S Network
provider_hosting_legal_entity-fairdi,FAIR Data Infrastructure for Physics, Chemistry, Materials Science, and Astronomy (FAIR-DI)
provider_hosting_legal_entity-figshare,Figshare
provider_hosting_legal_entity-fnsp,Fondation Nationale des Sciences Politiques (Sciences Po)
provider_hosting_legal_entity-forth,Foundation for Research and Technology, Hellas (FORTH)
provider_hosting_legal_entity-fscai,Fraunhofer SCAI
provider_hosting_legal_entity-cesga,Fundacion Centro Tecnologico de Supercomputacion de Galicia (CESGA)
provider_hosting_legal_entity-gccumcg,Genomics Coordination Center, University Medical Center Groningen (GCC UMCG)
provider_hosting_legal_entity-gwdg,Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen (GWDG)
provider_hosting_legal_entity-gesisliss,GESIS Leibniz Institute for the Social Sciences
provider_hosting_legal_entity-gbif,Global Biodiversity Information Facility (GBIF)
provider_hosting_legal_entity-gsihsgmbh,GSI Helmholtzzentrum für Schwerionenforschung GmbH
provider_hosting_legal_entity-geant,GÉANT Association
provider_hosting_legal_entity-hzdr,Helmholtz-Zentrum Dresden-Rossendorf e.V. (HZDR)
provider_hosting_legal_entity-ifinhh,Horia Hulubei National Institute for R&D in Physics and Nuclear Engineering (IFIN-HH)
provider_hosting_legal_entity-hostkeybv,HOSTKEY B.V. - Dedicated servers in Amsterdam DC
provider_hosting_legal_entity-ideaconsult,IDEAconsult
provider_hosting_legal_entity-ifnios,Ifremer, the French National Institute for Ocean Science
provider_hosting_legal_entity-infrafrontier,INFRAFRONTIER
provider_hosting_legal_entity-ill,Institut Laue Langevin (ILL)
provider_hosting_legal_entity-inria,Institut national de recherche en informatique et en automatique (INRIA)
provider_hosting_legal_entity-sztaki,INSTITUTE FOR COMPUTER SCIENCE AND CONTROL (SZTAKI)
provider_hosting_legal_entity-isti,Institute for Information Science and Technologies 'Alessandro Faedo' - ISTI
provider_hosting_legal_entity-iasa,Institute of Accelerating Systems and Applications (IASA)
provider_hosting_legal_entity-cnriia,Institute of Atmospheric Pollution Research - National Research Council of Italy (CNR IIA)
provider_hosting_legal_entity-ibiomcnr,Institute of Biomembranes, Bioenergetics and Molecular Biotechnologies, National Research Council (IBIOM-CNR)
provider_hosting_legal_entity-iisas,Institute of Informatics - Slovak Academy of Sciences (IISAS)
provider_hosting_legal_entity-iict,Institute of Information and Communication Technologies (IICT)
provider_hosting_legal_entity-isaul,Instituto Superior de Agronomia da Universidade de Lisboa
provider_hosting_legal_entity-ieric,Instruct-ERIC
provider_hosting_legal_entity-icoseric,Integrated Carbon Observation System European Research Infrastructure Consortium (ICOS ERIC)
provider_hosting_legal_entity-inaf,Istituto Nazionale di Astrofisica (INAF)
provider_hosting_legal_entity-infn,Italian National Institute of Nuclear Physics (INFN)
provider_hosting_legal_entity-jelastic,Jelastic
provider_hosting_legal_entity-jsc,Jülich Supercomputing Centre (JSC)
provider_hosting_legal_entity-kit,Karlsruhe Institute of Technology (KIT)
provider_hosting_legal_entity-komanord,Koma Nord
provider_hosting_legal_entity-lsdufcg,Laboratório de Sistemas Distribuídos - Universidade Federal de Campina Grande (LSD-UFCG)
provider_hosting_legal_entity-lnec,Laboratório Nacional de Engenharia Civil (LNEC)
provider_hosting_legal_entity-tib,Leibniz Information Centre for Science and Technology (TIB)
provider_hosting_legal_entity-libnovasl,LIBNOVA SL
provider_hosting_legal_entity-lifewatcheric,LifeWatch ERIC
provider_hosting_legal_entity-cirmmp,Magnetic Resonance Center of the University of Florence - CERM, Interuniversity consortium CIRMMP
provider_hosting_legal_entity-mandati,Mandat International
provider_hosting_legal_entity-mz,Materials Zone
provider_hosting_legal_entity-meeo,Meteorological Environmental Earth Observation (MEEO)
provider_hosting_legal_entity-msw,MyScienceWork
provider_hosting_legal_entity-naesu,National Academy of Educational Sciences (NAES) of Ukraine
provider_hosting_legal_entity-cines,National Computing Center for Higher Education (CINES)
provider_hosting_legal_entity-incd,National Distributed Computing Infrastructure (INCD)
provider_hosting_legal_entity-grnet,National Infrastructures for Research and Technology (GRNET)
provider_hosting_legal_entity-niod,NIOD Institute for War, Genocide and Holocaust Studies
provider_hosting_legal_entity-norce,NORCE Norwegian Research Centre
provider_hosting_legal_entity-odp,Observatoire de Paris
provider_hosting_legal_entity-olosa,OLOS Association
provider_hosting_legal_entity-obp,Open Book Publishers (OBP)
provider_hosting_legal_entity-okm,Open Knowledge Maps
provider_hosting_legal_entity-openaire,OpenAIRE
provider_hosting_legal_entity-operasaisbl,OPERAS AISBL
provider_hosting_legal_entity-prace,Partnership For Advanced Computing in Europe (PRACE)
provider_hosting_legal_entity-psnc,Poznan Supercomputing and Networking Center (PSNC)
provider_hosting_legal_entity-pidssl,Predictia Intelligent Data Solutions SL
provider_hosting_legal_entity-rasdaman,RASDAMAN
provider_hosting_legal_entity-readcoop,READ-COOP SCE
provider_hosting_legal_entity-rsu,Riga Stradins University
provider_hosting_legal_entity-rbi,Ruđer Bošković Institute
provider_hosting_legal_entity-ciemat,Scientific IT Research Activities and Knowledge, ICT Division, CIEMAT
provider_hosting_legal_entity-sks,Scientific Knowledge Services (SKS)
provider_hosting_legal_entity-scipedia,SCIPEDIA
provider_hosting_legal_entity-seadatanet,SeaDataNet
provider_hosting_legal_entity-sdgmbh,Secure Dimensions GmbH
provider_hosting_legal_entity-sinergise,Sinergise
provider_hosting_legal_entity-sirisasl,SIRIS Academic SL
provider_hosting_legal_entity-sixsq,SixSq
provider_hosting_legal_entity-suite5,Suite5 Data Intelligence Solutions
provider_hosting_legal_entity-surf,SURF
provider_hosting_legal_entity-cscs,Swiss National Supercomputing Centre (CSCS)
provider_hosting_legal_entity-switch,SWITCH
provider_hosting_legal_entity-soleil,Synchrotron SOLEIL
provider_hosting_legal_entity-tsystems,T-Systems International
provider_hosting_legal_entity-tut,Tallinn University of Technology
provider_hosting_legal_entity-tm,Teledyne Marine
provider_hosting_legal_entity-terradue,Terradue
provider_hosting_legal_entity-tci,The Cyprus Institute
provider_hosting_legal_entity-tos,Tree of Science
provider_hosting_legal_entity-trustits,Trust-IT Services
provider_hosting_legal_entity-tanic,Turkish Academic Network and Information Center
provider_hosting_legal_entity-upltd,Ubiquity Press Ltd
provider_hosting_legal_entity-ubiwhere,Ubiwhere
provider_hosting_legal_entity-uit,UiT The Arctic University of Norway
provider_hosting_legal_entity-ukaea,UK Atomic Energy Authority (UKAEA)
provider_hosting_legal_entity-ukristfc,UK Research and Innovation - Science and Technology Facilities Council (UKRI - STFC)
provider_hosting_legal_entity-upv,Universitat Politècnica de València
provider_hosting_legal_entity-upf,Universitat Pompeu Fabra
provider_hosting_legal_entity-ufdisitlab,University of Florence, DISIT Lab
provider_hosting_legal_entity-uof,University of Freiburg
provider_hosting_legal_entity-uog,University of Geneva
provider_hosting_legal_entity-ugr,University of Granada – UGR
provider_hosting_legal_entity-umb,University of Milano-Bicocca
provider_hosting_legal_entity-umg,University of Minas Gerais
provider_hosting_legal_entity-uoo,University of Oslo
provider_hosting_legal_entity-uot,University of Tartu
provider_hosting_legal_entity-vecma,Verified Exascale Computing for Multiscale Applications (VECMA)
provider_hosting_legal_entity-vu,Vilnius University